autori,titolo,edizione,luogo,editore,anno,formato
AA. VV.,Manifesto per lo Sviluppo Agile di Software,1,Milano,Apogeo,2001,ebook
AA. VV.,TV70 Francesco Vezzoli guarda la RAI,1,Milano,Fondazione Prada,2017,cartaceo
AA. VV.,Limes - Indagine sulle periferie (n. 4/2016),1,Roma,Gruppo Editoriale Espresso,2016,ebook
AA. VV.,Limes - USA - Germania duello per l'Europa (n. 5/2017),1,Roma,Gruppo Editoriale Espresso,2017,cartaceo
AA. VV.,Valve handbook,1,Washington,Valve Corporation,2012,ebook
AA. VV.,Ingannare il tempo - Bruno Munari archeologo,1,Mantova,Corraini,2007,cartaceo
AA. VV.,Come fare tutto in Minecraft,n.3,Cernusco sul Naviglio,SPREA,2012,cartaceo
Abdul - Jabbar K.,Coach Wooden and me,1,Torino,add editore,2017,cartaceo
Abensour M.,Della compostezza - Architetture e totalitarismi,1,Milano,Jaca Book,2012,cartaceo
Agostino,Le confessioni,6,Roma,Città Nuova,2003,cartaceo
Alciato A.,Il libro degli emblemi (secondo le edizioni del 1531 e del 1534),1,Milano,Adelphi,2009,cartaceo
Arnheim R.,Arte e percezione visiva,17,Milano,Feltrinelli,2002,cartaceo
Attolico L.,Innovazione Lean,1,Milano,Ulrico Hoepli editore,2012,ebook
Averroè,L'incoerenza dell'incoerenza dei filosofi,1,Torino,UTET,2006,cartaceo
Badaloni F.,Archiettura della Comunicazione,1,Italia,ilmiolibro,2016,ebook
Baldini M.,Virtù dell'errore,1,Brescia,Editrice La Scuola,2013,ebook
Barbero A.,Il divano di Istambul,5,Palermo,Sellerio,2016,cartaceo
"Barbero A., Frugoni C.","Medioevo - Storia di voci, racconto di immagini",1,Roma - Bari,Laterza,2015,cartaceo
Baudrillard J.,Cyberfilosofia,1,Milano,Mimesis,2010,ebook
"Bene C, Deleuze G.",Sovrapposizioni,1,Macerata,Quodlibet,2002,cartaceo
Bene C.,Opere,3,Milano,Bompiani,2008,cartaceo
"Bene C., Dotto G.",Vita di Carmelo Bene,6,Milano,Bompiani,2015,cartaceo
Benjamin W.,L'opera d'arte nell'epoca della sua riproducibilità tecnica,1,Torino,Einaudi,2014,ebook
Berger J.,Contagioso,1,Segrate,Sperling & Kupfer,2014,ebook
